Age,Dependent,Months,Product, Limit,Balance,Open to buy,Amt change,Trans. Amt,Utilization 
53,2,46,4,7474,0,7474,0.858,732,0
44,3,36,2,9114,0,9114,0.654,2740,0
52,2,39,2,12214,2379,9835,0.769,8426,0.195
37,2,27,1,3050,2517,533,1.177,4698,0.825
45,3,34,4,1533,728,805,0.906,4659,0.475
51,2,37,5,8511,0,8511,0.88,3775,0
57,3,36,6,3032,2215,817,0.408,1387,0.731
45,2,36,5,1438.3,986,452.3,0.649,5136,0.686
36,3,36,4,1815,0,1815,0.478,2039,0
38,4,31,3,34516,0,34516,0.604,15611,0
51,2,41,6,23742,0,23742,0.769,3783,0
35,1,24,6,10467,1961,8506,0.713,2665,0.187
56,1,36,3,11751,0,11751,3.397,1539,0
54,3,36,6,1438.3,1133,305.3,0.759,1935,0.788
31,2,14,4,6933,1870,5063,0.656,15585,0.27
56,1,36,2,8331,0,8331,0.705,14324,0
50,1,37,3,1838,0,1838,0.743,2461,0
45,3,37,5,4995,1766,3229,0.76,4389,0.354
44,3,35,5,1438.3,0,1438.3,0.978,3966,0
43,3,28,6,6720,2143,4577,0.814,5049,0.319
36,1,20,3,34516,0,34516,0.531,2686,0
60,0,51,4,7508,2148,5360,0.89,4950,0.286
48,5,43,4,2866,921,1945,0.654,4615,0.321
63,1,54,2,23355,1061,22294,0.864,8634,0.045
46,3,37,6,2403,0,2403,0.727,3393,0
39,1,34,3,2884,2517,367,0.693,4809,0.873
45,4,36,3,3562,2107,1455,0.394,4490,0.592
57,0,48,4,5387,2047,3340,0.579,1546,0.38
54,3,39,4,1764,0,1764,0.651,4857,0
47,1,36,5,1438.3,735,703.3,0.762,4220,0.511
36,3,27,2,13873,0,13873,0.233,694,0
42,3,23,4,2797,1943,854,0.899,4917,0.695
30,1,36,6,5061,0,5061,0.911,1309,0
65,0,56,6,2621,1858,763,0.987,2148,0.709
47,4,40,6,2473,0,2473,0.547,2133,0
52,2,37,1,2427,2362,65,0.67,4663,0.973
38,0,29,3,5983,1885,4098,0.601,4141,0.315
54,0,36,3,16286,1710,14576,1.223,2552,0.105
30,2,22,3,3143,1075,2068,0.643,2510,0.342
43,4,39,4,1438.3,0,1438.3,0.68,4528,0
41,4,30,6,16386,2236,14150,1.004,3293,0.136
59,0,53,6,12554,2169,10385,0.529,1422,0.173
36,2,25,5,8917,1091,7826,1.152,3327,0.122
48,3,36,6,3786,0,3786,0.715,3403,0
59,1,36,2,3720,1569,2151,0.891,16208,0.422
57,2,49,5,3377,1720,1657,0.491,1621,0.509
62,0,56,3,2230,1716,514,0.811,4027,0.77
65,0,56,3,11332,633,10699,1.514,2758,0.056
44,3,31,5,10262,1888,8374,0.508,3553,0.184
42,4,33,4,32535,0,32535,0.792,4374,0
51,2,44,6,3181,2517,664,0.595,818,0.791
46,5,28,3,2424,2169,255,0.613,4209,0.895
58,2,44,3,11811,2508,9303,0.476,1469,0.212
50,3,40,5,31383,1688,29695,0.765,1721,0.054
54,2,36,1,8758,1511,7247,0.674,7680,0.173
43,4,35,1,3442,2517,925,0.62,7801,0.731
56,5,49,3,4132,1559,2573,0.827,14781,0.377
53,2,36,1,4503,0,4503,0.659,748,0
34,2,25,6,1439,0,1439,0.89,2932,0
40,4,22,4,1438.3,0,1438.3,0.695,2502,0
36,1,25,6,2622,2489,133,0.84,2717,0.949
29,1,19,3,23507,1990,21517,0.631,2650,0.085
48,3,41,2,3430,2517,913,0.869,2639,0.734
64,0,56,6,1564,0,1564,0.516,4018,0
40,5,31,1,34516,2203,32313,0.728,14204,0.064
46,3,36,2,7199,1235,5964,0.83,4050,0.172
57,1,47,4,3416,2468,948,0.598,1536,0.722
60,1,47,6,3735,1175,2560,1.036,8193,0.315
51,1,36,3,9095,2517,6578,0.37,1347,0.277
51,2,42,3,13906,1430,12476,0.772,3856,0.103
35,4,36,3,1438.3,606,832.3,0.692,5062,0.421
47,4,36,4,5349,1228,4121,0.728,1343,0.23
41,4,26,5,5633,1395,4238,0.542,3695,0.248
56,3,51,2,6941,1013,5928,0.552,4097,0.146
51,2,33,2,5625,1640,3985,0.893,7890,0.292
50,1,41,6,2826,1741,1085,0.669,4488,0.616
50,1,41,6,15641,2379,13262,0.816,3769,0.152
53,2,45,1,12100,1350,10750,0.854,13138,0.112
39,2,32,5,3086,2213,873,0.695,4684,0.717
42,5,30,3,3578,0,3578,0.759,1015,0
35,1,26,3,23447,1515,21932,0.622,2834,0.065
53,1,48,3,30271,1406,28865,1.336,3231,0.046
54,3,41,3,10448,1569,8879,0.482,1604,0.15
61,0,53,6,14434,1927,12507,2.675,1731,0.134
58,2,53,2,24407,2395,22012,1.071,2311,0.098
51,3,46,6,2927,1499,1428,0.649,4670,0.512
46,1,34,3,15060,0,15060,0.545,1611,0
35,0,36,4,2089,0,2089,0.871,2707,0
44,4,36,3,8482,0,8482,0.563,4076,0
60,0,49,3,11060,1647,9413,0.938,4545,0.149
54,3,39,3,4036,1329,2707,0.738,5315,0.329
51,2,43,5,3245,0,3245,0.553,1977,0
56,4,36,4,3652,1351,2301,0.836,1561,0.37
38,3,33,6,29638,857,28781,0.481,3429,0.029
56,2,37,2,2963,0,2963,0.902,2919,0
52,1,36,1,6616,831,5785,0.707,9065,0.126
52,3,38,1,3281,911,2370,0.665,4431,0.278
43,3,31,6,6824,2517,4307,0.972,9045,0.369
50,2,32,2,25645,1083,24562,0.757,4302,0.042
43,4,31,2,4091,1108,2983,0.774,5244,0.271
47,3,38,5,3027,1671,1356,0.934,3912,0.552
55,4,36,4,34173,1194,32979,1.056,3731,0.035
45,3,39,2,1438.3,0,1438.3,0.81,4928,0
45,4,36,1,3918,2070,1848,0.76,4700,0.528
50,2,45,2,2021,1578,443,0.761,5298,0.781
44,2,36,5,24016,0,24016,0.748,3693,0
55,1,46,5,5379,962,4417,0.827,1778,0.179
55,2,45,5,1850,942,908,0.757,4134,0.509
53,2,42,6,2322,1284,1038,0.673,1573,0.553
43,1,31,5,11583,631,10952,0.714,3320,0.054
59,0,40,3,34516,1359,33157,1.327,1033,0.039
48,3,38,3,7326,1710,5616,1.171,1852,0.233
43,2,36,6,2570,2107,463,0.651,4058,0.82
48,4,37,1,3607,0,3607,0.504,2013,0
59,0,36,5,5688,914,4774,1.099,1824,0.161
40,3,30,2,24499,2517,21982,0.777,7667,0.103
38,2,27,6,1438.3,0,1438.3,0.945,2412,0
42,4,36,3,2782,1782,1000,0.853,4669,0.641
60,1,42,5,5903,1335,4568,0.914,1137,0.226
57,3,39,6,2781,992,1789,0.701,4577,0.357
42,4,36,4,3734,2517,1217,0.724,4792,0.674
56,3,46,2,34516,0,34516,0.887,8416,0
50,1,38,4,34516,1915,32601,0.625,3828,0.055
48,3,40,2,2337,0,2337,0.586,5203,0
50,3,45,5,20437,1020,19417,0.563,4166,0.05
44,3,38,4,3889,2517,1372,0.405,1718,0.647
26,0,13,5,2902,1668,1234,0.621,2088,0.575
63,0,55,6,1651,1433,218,0.985,4050,0.868
46,3,39,4,6644,2082,4562,0.915,4659,0.313
45,3,37,1,2449,0,2449,0.706,5497,0
40,3,36,2,10729,0,10729,0.68,14364,0
42,3,38,4,1538,868,670,0.828,5228,0.564
47,1,37,6,2441,1672,769,0.893,4439,0.685
34,1,29,4,14938,1412,13526,0.677,1930,0.095
50,2,41,6,1438.3,0,1438.3,0.872,4617,0
44,4,36,3,19430,0,19430,1.012,3650,0
51,2,32,6,10824,0,10824,0.962,3700,0
54,2,50,3,2210,1002,1208,0.938,4798,0.453
32,1,36,3,8998,1471,7527,0.844,1931,0.163
57,1,50,3,1665,983,682,0.889,4420,0.59
52,1,44,2,34516,1618,32898,1,11603,0.047
40,3,31,4,2016,978,1038,0.736,4379,0.485
42,3,37,3,4540,2517,2023,0.89,4804,0.554
45,2,36,4,1640,999,641,0.811,4597,0.609
38,1,32,2,2609,1259,1350,0.871,8677,0.483
49,0,39,2,2221,1291,930,0.785,8618,0.581
51,1,38,2,28605,0,28605,1.054,5524,0
50,2,43,2,1857,1603,254,0.579,1590,0.863
43,3,33,3,16351,1541,14810,0.763,3475,0.094
31,1,26,1,15504,1277,14227,0.612,14181,0.082
45,2,37,6,2811,1630,1181,0.847,4275,0.58
34,2,21,6,6131,1270,4861,0.913,2825,0.207
42,4,36,6,4008,1636,2372,0.637,1395,0.408
51,3,37,1,34516,0,34516,0.814,8736,0
42,3,34,6,5395,1439,3956,0.781,3523,0.267
35,3,36,4,7234,2000,5234,0.754,4272,0.276
60,1,53,4,3346,922,2424,0.913,1276,0.276
39,1,26,3,1876,1536,340,0.712,2579,0.819
57,2,41,3,2527,1030,1497,0.714,2767,0.408
43,5,28,1,12773,1637,11136,0.919,14833,0.128
49,4,43,5,2574,1555,1019,0.583,4134,0.604
35,3,23,3,3073,526,2547,0.702,1944,0.171
34,3,36,3,4549,990,3559,0.745,13804,0.218
47,3,36,3,2589,1693,896,0.878,4259,0.654
50,4,44,4,13911,2160,11751,0.73,2204,0.155
52,0,48,4,13114,2247,10867,1.003,2474,0.171
43,3,33,6,4343,0,4343,0.563,1352,0
38,1,27,6,26372,1365,25007,1.394,2291,0.052
54,2,44,4,2902,2517,385,0.821,996,0.867
41,5,36,1,1438.3,892,546.3,0.79,4426,0.62
49,5,37,3,29219,0,29219,0.77,4575,0
57,3,48,5,24589,1640,22949,0.4,4291,0.067
38,3,36,3,5576,0,5576,0.686,4322,0
47,2,37,3,4254,1204,3050,0.538,5385,0.283
38,3,27,4,1438.3,0,1438.3,0.73,2478,0
29,1,23,1,8147,1750,6397,0.751,14912,0.215
30,2,36,4,5281,0,5281,0.535,8395,0
44,3,35,5,3398,2415,983,0.891,4509,0.711
37,3,27,2,2939,1388,1551,0.69,5076,0.472
49,2,40,5,3263,1522,1741,0.58,4288,0.466
42,5,36,2,3275,1525,1750,0.749,14830,0.466
43,3,35,2,4970,1588,3382,0.669,4436,0.32
43,3,32,2,4196,1331,2865,0.537,14545,0.317
49,2,36,4,5099,1178,3921,0.912,3819,0.231
35,2,23,4,6729,2375,4354,0.579,2080,0.353
51,2,40,3,3290,2461,829,0.797,3591,0.748
35,3,26,6,3991,1982,2009,0.748,1661,0.497
39,3,30,6,3023,1348,1675,0.358,2219,0.446
40,2,36,6,1538,0,1538,0.706,4884,0
47,5,40,5,2950,2000,950,0.882,4742,0.678
46,3,36,4,4696,0,4696,0.732,4828,0
53,2,36,2,5735,0,5735,1.009,9088,0
51,0,35,5,3132,1815,1317,1.018,3607,0.58
45,4,27,2,3670,1684,1986,0.675,8608,0.459
45,2,33,4,34516,1529,32987,0.609,13940,0.044
42,3,32,2,3391,1359,2032,0.662,13212,0.401
55,4,51,4,2001,1553,448,0.482,1910,0.776
50,3,35,1,34516,1638,32878,0.761,14474,0.047
59,0,48,5,34516,0,34516,0.969,8480,0
51,1,47,6,2469,1491,978,0.869,4351,0.604
40,3,27,3,1438.3,0,1438.3,0.845,4332,0
53,1,43,6,6189,0,6189,0.538,5004,0
61,1,50,6,2531,2360,171,0.955,1263,0.932
51,1,39,5,1438.3,0,1438.3,0.885,2492,0
48,4,36,4,2740,2425,315,0.816,2431,0.885
39,2,36,4,1438.3,0,1438.3,0.7,1338,0
29,1,22,2,11522,1203,10319,0.847,13720,0.104
45,4,35,2,13445,1186,12259,0.56,7377,0.088
43,4,24,6,1679,951,728,0.706,2492,0.566
37,2,19,6,2152,1682,470,1.051,4126,0.782
27,0,22,4,1864,1384,480,0.904,1662,0.742
65,1,48,4,4599,637,3962,0.622,2608,0.139
48,4,36,3,32838,1717,31121,0.995,2538,0.052
41,2,24,4,9366,1104,8262,0.572,1303,0.118
65,1,36,3,4182,0,4182,0.691,4046,0
38,3,22,2,3224,0,3224,0.761,3738,0
53,2,49,4,6074,0,6074,0.697,4303,0
40,4,25,4,2129,1507,622,0.636,3655,0.708
46,2,33,5,3001,0,3001,0.74,2577,0
46,4,33,5,2879,0,2879,1.031,4684,0
54,4,36,3,1594,1411,183,0.817,1459,0.885
46,3,34,4,9959,0,9959,1.049,4859,0
53,3,36,6,34516,1901,32615,0.914,1497,0.055
56,1,44,3,9078,1501,7577,0.51,1543,0.165
45,3,36,3,14521,0,14521,0.41,4178,0
65,0,56,3,5951,2517,3434,0.787,4554,0.423
45,5,36,5,10400,1777,8623,0.791,1105,0.171
57,1,46,4,3638,0,3638,0.837,16469,0
55,3,47,5,2687,1689,998,0.714,2370,0.629
36,0,30,5,5302,2414,2888,0.779,4284,0.455
40,3,36,6,5014,1887,3127,0.806,4391,0.376
36,2,36,3,14304,699,13605,0.549,4746,0.049
37,1,30,5,13355,1631,11724,1.113,1921,0.122
51,1,36,3,8840,1794,7046,0.848,2839,0.203
60,0,52,5,2595,2189,406,0.276,1562,0.844
58,2,49,3,6175,1166,5009,0.803,1417,0.189
39,1,29,4,1438.3,949,489.3,0.736,4222,0.66
40,2,30,5,1438.3,0,1438.3,0.542,2258,0
53,2,42,3,3024,1649,1375,0.587,4463,0.545
49,3,40,5,2509,450,2059,0.654,2239,0.179
43,3,24,6,5544,1095,4449,0.572,3829,0.198
50,5,41,3,1438.3,0,1438.3,0.683,4550,0
27,1,13,3,1438.3,990,448.3,0.715,3855,0.688
48,3,43,5,2109,1205,904,0.514,2935,0.571
45,3,34,5,34516,1664,32852,0.73,4912,0.048
46,5,39,3,24248,1020,23228,1.19,3311,0.042
43,1,33,5,21165,735,20430,0.624,3343,0.035
47,4,34,2,23981,0,23981,0.196,4536,0
58,3,48,6,2800,1834,966,0.615,1571,0.655
53,3,45,6,1882,0,1882,0.8,5221,0
47,4,36,1,1438.3,0,1438.3,0.61,5216,0
44,1,29,4,13298,1694,11604,0.824,3476,0.127
43,3,37,2,16583,1797,14786,0.889,7823,0.108
46,2,36,3,1438.3,0,1438.3,0.757,5005,0
30,2,23,4,2997,1393,1604,1.12,1577,0.465
44,4,24,6,2717,1720,997,0.869,4196,0.633
50,0,36,5,7238,2111,5127,1.085,2025,0.292
37,3,30,6,16043,0,16043,1.509,2599,0
62,0,36,3,3653,1769,1884,0.825,4423,0.484
40,2,29,5,2636,1953,683,0.916,4584,0.741
54,2,45,3,5597,0,5597,0.596,4844,0
41,3,29,4,1966,1452,514,0.621,4666,0.739
37,1,19,6,18951,1243,17708,1.148,2874,0.066
26,1,13,6,1473,0,1473,0.813,2099,0
54,2,45,5,7563,1465,6098,0.511,4175,0.194
39,2,24,2,21679,1073,20606,0.745,15581,0.049
48,3,43,3,1670,0,1670,0.707,2790,0
44,5,30,3,2709,1726,983,0.698,5056,0.637
65,1,54,3,4599,1438,3161,0.832,4208,0.313
43,2,23,3,34516,1153,33363,0.89,4486,0.033
45,4,36,5,15100,2004,13096,0.9,4135,0.133
30,0,25,4,12917,1157,11760,0.668,4108,0.09
43,2,35,3,4092,622,3470,0.775,5001,0.152
64,0,52,2,3570,2517,1053,0.69,3289,0.705
38,2,30,4,19595,610,18985,0.582,4079,0.031
61,0,50,4,2800,2448,352,0.549,1433,0.874
42,3,36,3,3015,0,3015,0.927,4277,0
43,1,35,3,10514,1580,8934,0.504,1229,0.15
44,3,40,2,9502,2457,7045,0.915,2310,0.259
37,3,31,3,2005,1517,488,0.729,2439,0.757
42,3,18,5,8668,0,8668,0.275,1402,0
44,4,37,3,14388,2517,11871,0.709,7042,0.175
41,2,32,3,12804,2517,10287,0.892,1101,0.197
31,1,21,3,15261,1109,14152,0.655,15442,0.073
37,2,36,4,1734,987,747,0.879,4727,0.569
50,3,41,4,2563,1860,703,0.68,3774,0.726
41,4,29,3,4573,0,4573,0.703,3776,0
39,2,36,4,8096,1474,6622,0.789,1794,0.182
52,3,36,4,9137,1729,7408,0.974,4626,0.189
44,4,36,6,7000,2517,4483,0.475,1112,0.36
43,3,31,6,1477,0,1477,0.756,4802,0
57,2,49,6,4698,984,3714,0.373,1865,0.209
52,1,37,5,2733,1306,1427,0.791,1139,0.478
42,3,36,3,3433,1869,1564,0.838,4504,0.544
51,2,36,5,28600,0,28600,0.506,4336,0
43,3,26,3,2867,0,2867,0.703,2646,0
38,3,26,3,1939,1484,455,0.576,4790,0.765
44,5,32,5,14910,877,14033,0.772,1150,0.059
43,3,36,5,2313,1325,988,0.723,5006,0.573
53,1,43,5,2618,2026,592,0.669,4198,0.774
52,1,43,3,3710,2517,1193,1.541,1578,0.678
37,3,36,3,6077,1397,4680,0.834,2837,0.23
30,1,17,5,7173,1227,5946,0.646,1793,0.171
36,3,22,1,2013,0,2013,0.602,2425,0
48,3,28,2,9405,0,9405,1.033,4801,0
52,0,46,6,7210,0,7210,0.769,2516,0
51,1,44,4,1438.3,0,1438.3,0.803,2207,0
53,3,43,5,8404,1498,6906,0.922,4811,0.178
60,0,41,1,10730,970,9760,0.645,4939,0.09
52,3,40,6,34516,1757,32759,0.786,4223,0.051
48,2,33,4,2998,1789,1209,0.807,1825,0.597
38,4,27,5,10386,1909,8477,1.43,2119,0.184
64,0,36,5,1873,468,1405,1.154,4738,0.25
45,4,37,5,6784,891,5893,1.047,1900,0.131
36,3,36,3,3404,1568,1836,1.055,2406,0.461
54,3,44,2,3032,0,3032,0.949,1037,0
44,1,33,2,34516,1058,33458,0.734,7412,0.031
35,3,26,6,3187,2517,670,1.214,2072,0.79
30,1,24,4,3450,2517,933,0.652,2545,0.73
47,2,36,3,9437,2024,7413,0.664,4715,0.214
58,1,36,5,4784,0,4784,0.905,2160,0
46,3,37,6,9013,0,9013,0.597,3819,0
48,1,38,4,3503,1572,1931,0.866,4671,0.449
52,2,38,4,12878,1628,11250,0.542,1968,0.126
61,0,56,6,9918,850,9068,0.688,2485,0.086
47,3,36,2,2479,1748,731,0.831,8042,0.705
61,0,51,4,8476,0,8476,0.675,3889,0
57,2,51,3,1614,0,1614,0.241,1690,0
50,1,38,4,34516,2076,32440,0.812,3647,0.06
49,3,44,5,21620,2008,19612,0.691,1300,0.093
60,2,36,1,3239,2356,883,0.621,4621,0.727
32,1,13,3,12616,0,12616,1.054,1376,0
48,4,38,5,34516,1639,32877,0.688,4959,0.047
42,5,27,3,11880,2025,9855,0.835,1789,0.17
53,3,43,4,14938,1155,13783,0.995,2248,0.077
28,0,21,5,25618,1209,24409,1.228,2157,0.047
45,5,25,1,25601,1384,24217,0.745,12896,0.054
40,4,31,4,2383,1828,555,0.814,4759,0.767
40,2,35,2,2544,1713,831,0.696,8006,0.673
53,1,39,5,2590,1564,1026,0.386,1188,0.604
44,3,38,3,4198,1782,2416,1.526,2051,0.424
52,1,36,4,34516,549,33967,0.78,1629,0.016
57,2,48,5,2436,680,1756,1.19,1570,0.279
54,3,49,5,5335,1373,3962,0.558,1435,0.257
53,4,36,2,1438.3,0,1438.3,0.314,1739,0
32,2,24,5,1553,1177,376,0.638,4549,0.758
64,0,51,6,4920,1142,3778,0.507,1420,0.232
50,3,30,4,1507,0,1507,0.648,4037,0
39,1,35,1,15987,1494,14493,0.731,8438,0.093
46,4,33,1,13490,1567,11923,0.795,13159,0.116
47,4,39,3,1438.3,0,1438.3,0.854,2295,0
43,5,36,5,2311,1320,991,0.658,3967,0.571
40,2,36,3,13019,0,13019,0.487,1484,0
36,2,31,5,5821,764,5057,0.688,5291,0.131
47,3,31,6,5496,0,5496,0.548,1913,0
45,2,31,2,6530,1425,5105,0.716,8904,0.218
54,4,39,1,7773,2465,5308,0.788,4272,0.317
39,2,34,6,5219,1826,3393,1.011,1715,0.35
40,4,31,5,1768,1242,526,0.776,4439,0.702
50,2,36,3,34516,1023,33493,1.004,1064,0.03
50,0,42,3,3749,1594,2155,0.738,7990,0.425
48,3,36,2,3882,2029,1853,0.751,13980,0.523
46,4,34,6,2168,1704,464,0.725,4584,0.786
48,3,39,4,13233,1106,12127,0.882,4288,0.084
63,0,54,5,7098,2224,4874,0.864,3465,0.313
51,3,44,4,16406,0,16406,0.627,4075,0
46,2,34,1,24431,892,23539,0.417,3457,0.037
35,3,25,5,5240,1451,3789,1.198,2172,0.277
50,3,41,2,34516,0,34516,0.627,15059,0
49,1,36,2,1838,0,1838,0.65,5156,0
56,3,51,5,1438.3,0,1438.3,0.597,594,0
34,2,29,2,2509,1897,612,0.938,4837,0.756
51,3,45,5,21328,0,21328,0.783,3825,0
29,0,14,6,3544,0,3544,0.718,2435,0
46,2,28,1,7790,1921,5869,0.789,14567,0.247
42,4,35,3,18274,1623,16651,0.681,3886,0.089
50,2,40,5,21794,1368,20426,0.691,15111,0.063
56,4,36,5,2072,1543,529,0.486,1265,0.745
46,2,41,5,1438.3,0,1438.3,0.691,3942,0
46,4,34,5,13734,568,13166,0.719,4283,0.041
41,2,36,2,34516,687,33829,1.015,4822,0.02
50,2,39,2,1438.3,0,1438.3,0.588,1859,0
44,3,38,3,11749,788,10961,0.688,1178,0.067
37,3,36,3,1696,0,1696,0.857,2095,0
55,2,45,3,2163,0,2163,0.816,1349,0
38,1,32,4,3657,1687,1970,1.357,2758,0.461
48,3,38,6,4025,0,4025,0.887,4445,0
57,3,36,6,10350,0,10350,0.826,3396,0
37,4,28,3,34516,0,34516,0.572,2574,0
57,1,45,5,5330,0,5330,0.515,3525,0
45,3,32,5,2329,1465,864,0.815,4286,0.629
54,2,34,5,6401,1471,4930,0.655,4465,0.23
45,3,33,3,16928,1519,15409,0.894,3355,0.09
58,3,52,5,17934,1578,16356,0.593,2005,0.088
55,2,47,3,9959,1209,8750,0.548,1584,0.121
36,1,36,5,3635,1617,2018,0.828,4045,0.445
45,3,39,1,8383,0,8383,0.809,2600,0
51,2,36,3,26142,0,26142,0.651,3969,0
45,3,35,3,10290,753,9537,0.858,4326,0.073
38,2,27,3,1776,1586,190,0.798,4350,0.893
51,2,32,2,34516,531,33985,0.98,5418,0.015
46,2,36,3,2418,1106,1312,0.963,3541,0.457
45,2,41,5,8532,2165,6367,0.707,3242,0.254
43,2,36,4,6976,0,6976,0.519,1217,0
36,1,23,6,3107,2354,753,1.248,2720,0.758
35,3,20,5,8082,2307,5775,0.637,1725,0.285
57,2,49,5,2679,2011,668,0.466,1723,0.751
48,2,35,2,2216,1262,954,0.497,4763,0.569
51,1,31,2,34516,1991,32525,0.718,7520,0.058
26,0,36,5,4150,456,3694,1.126,2483,0.11
46,4,37,3,15535,1302,14233,0.461,3718,0.084
61,0,36,4,19354,984,18370,0.956,1207,0.051
52,2,40,3,23128,1958,21170,0.604,2050,0.085
37,5,26,2,16730,1956,14774,0.675,1740,0.117
43,3,30,3,2023,1331,692,0.624,5098,0.658
52,1,48,1,1766,0,1766,0.769,4643,0
50,2,42,6,9873,1276,8597,0.791,4613,0.129
54,1,48,4,4752,1230,3522,0.883,15678,0.259
53,2,49,6,3386,1984,1402,0.573,1318,0.586
51,3,36,6,3610,1554,2056,0.501,2216,0.43
45,2,36,1,15987,2262,13725,0.714,15513,0.141
39,1,27,3,2821,725,2096,0.704,2397,0.257
47,3,36,6,34516,933,33583,0.946,1804,0.027
45,4,34,6,2731,1868,863,0.533,3915,0.684
38,1,26,5,4345,838,3507,0.593,4770,0.193
30,1,36,3,7087,1060,6027,0.709,1712,0.15
55,4,36,5,7790,753,7037,0.968,4835,0.097
57,2,45,5,33211,0,33211,0.732,3662,0
50,4,36,6,2433,1948,485,0.752,4668,0.801
54,4,45,6,1990,1747,243,0.924,5216,0.878
41,3,28,6,5841,2463,3378,1.047,3817,0.422
43,2,36,6,34516,1477,33039,0.324,1868,0.043
50,1,46,2,19349,615,18734,0.708,4351,0.032
26,0,13,5,2047,1196,851,0.623,2180,0.584
35,1,36,3,2158,1299,859,0.733,4946,0.602
54,2,48,3,2473,1745,728,0.769,4823,0.706
39,3,36,3,1575,592,983,0.236,644,0.376
50,0,41,2,3423,0,3423,0.505,2229,0
57,3,36,1,8389,1960,6429,0.384,1334,0.234
37,2,36,6,2463,1751,712,0.854,2171,0.711
